ticker,n_trades,n_buy,n_sell,net_signed_usd,n_politicians,issuer,sector,buy_pct,consensus
XOM:US,2,0,0,-16000.0,1,Exxon Mobil Corp,Energy,,SELL
APO:US,2,0,2,-16000.0,1,Apollo Global Management Inc,Financials,0.0,SELL
CTSH:US,2,0,2,-16000.0,1,Cognizant Technology Solutions Corp,Technology,0.0,SELL
EMR:US,2,0,2,-16000.0,2,Emerson Electric Co,Industrials,0.0,SELL
ROL:US,2,0,2,-16000.0,1,ROLLINS Inc,Consumer Discretionary,0.0,SELL
CVRX:US,2,0,2,-16000.0,1,CVRX INC,Healthcare,0.0,SELL
CHTR:US,2,0,2,-16000.0,1,Charter Communications Inc,Communication Services,0.0,SELL
VLTO:US,3,0,3,-24000.0,1,VERALTO CORP,Industrials,0.0,SELL
MBGL:US,3,0,3,-24000.0,1,MOBILITY GLOBAL INC,Technology,0.0,SELL
MU:US,3,0,3,-24000.0,1,Micron Technology Inc,Technology,0.0,SELL
CCI:US,3,0,3,-24000.0,2,Crown Castle International Corp,Real Estate,0.0,SELL
PENN:US,3,0,3,-24000.0,1,Penn National Gaming Inc,Consumer Discretionary,0.0,SELL
QCOM:US,2,1,1,-24500.0,1,QUALCOMM Inc,Technology,0.5,SELL
PFE:US,2,1,1,-24500.0,2,Pfizer Inc,Healthcare,0.5,SELL
TGT:US,2,1,1,-24500.0,2,Target Corp,Consumer Staples,0.5,SELL
SMFG:US,2,1,1,-24500.0,1,Sumitomo Mitsui Financial Group Inc,Financials,0.5,SELL
XSP:US,4,0,4,-32000.0,1,CBOE MINI SPX INDEX,Financials,0.0,SELL
ADSK:US,1,0,1,-32500.0,1,AUTODESK Inc,Technology,0.0,SELL
RELX:US,1,0,1,-32500.0,1,RELX PLC,Industrials,0.0,SELL
LOW:US,3,1,2,-32500.0,2,Lowe's Cos Inc,Consumer Discretionary,0.3333333333333333,SELL
NVDA:US,5,2,3,-32500.0,3,NVIDIA Corporation,Technology,0.4,SELL
DGX:US,1,0,1,-32500.0,1,Quest Diagnostics Inc,Healthcare,0.0,SELL
DIS:US,3,1,2,-32500.0,3,The Walt Disney Co,Communication Services,0.3333333333333333,SELL
ICLR:US,1,0,1,-32500.0,1,Icon PLC,Healthcare,0.0,SELL
USB:US,1,0,1,-32500.0,1,U.S. Bancorp,Financials,0.0,SELL
MSTR:US,1,0,1,-32500.0,1,MicroStrategy Inc,Technology,0.0,SELL
TLH:US,1,0,1,-32500.0,1,iShares 10-20 Year Treasury Bond ETF,Financials,0.0,SELL
SONY:US,1,0,1,-32500.0,1,Sony Group Corporation,Technology,0.0,SELL
TJX:US,1,0,1,-32500.0,1,The TJX Companies Inc,Consumer Discretionary,0.0,SELL
VZ:US,1,0,1,-32500.0,1,Verizon Communications Inc,Communication Services,0.0,SELL
